"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","621","test_login_data_driven[visual_user-secret_sauce-success]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Every product must have a positive numeric price.","139","test_product_prices_are_valid","tests","2026-09-14","passed","2026-09-14","TestInventory","test_inventory","",""
"Cart contents should persist when navigating to the cart page and back.","21293","test_cart_persists_across_navigation","tests","2026-09-14","broken","2026-09-14","TestCart","test_cart","",""
"Sorting by 'Name (A to Z)' should return alphabetically ascending names.","135","test_sort_name_a_to_z","tests","2026-09-14","passed","2026-09-14","TestInventory","test_inventory","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","546","test_login_data_driven[standard_user-None-failure]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Adding a single product should update the cart badge to 1.","423","test_add_single_product_to_cart","tests","2026-09-14","passed","2026-09-14","TestCart","test_cart","",""
"A user with valid checkout info should be able to complete an order end-to-end.","21026","test_successful_checkout","tests","2026-09-14","broken","2026-09-14","TestCheckout","test_checkout","",""
"Cancelling on the checkout info page should return the user to the cart.","116","test_cancel_checkout","tests","2026-09-14","passed","2026-09-14","TestCheckout","test_checkout","",""
"Checkout should be blocked with an error when last name is missing.","267","test_missing_last_name","tests","2026-09-14","passed","2026-09-14","TestCheckout","test_checkout","",""
"
        After logout, directly navigating to /inventory.html should NOT
        display the inventory page (session must be invalidated).
        ","769","test_session_invalid_after_logout","tests","2026-09-14","passed","2026-09-14","TestLogout","test_logout","",""
"Cart badge count should increment/decrement correctly as items are added/removed.","213","test_cart_badge_updates_dynamically","tests","2026-09-14","failed","2026-09-14","TestCart","test_cart","",""
"A user with valid credentials should reach the Inventory page.","690","test_valid_login","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Using the browser back button after logout should not restore an authenticated session view.","730","test_back_button_after_logout","tests","2026-09-14","passed","2026-09-14","TestLogout","test_logout","",""
"A locked-out user should be blocked from logging in with a clear error.","607","test_locked_out_user","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Submitting the form with an empty username should show an error.","523","test_empty_username","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Inventory page should display exactly 6 products for the standard user.","66","test_product_count","tests","2026-09-14","passed","2026-09-14","TestInventory","test_inventory","",""
"Login with a valid username but wrong password should fail with an error.","613","test_invalid_login_wrong_password","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Sorting by 'Name (Z to A)' should return alphabetically descending names.","230","test_sort_name_z_to_a","tests","2026-09-14","passed","2026-09-14","TestInventory","test_inventory","",""
"XSS payloads in the login form must be handled safely (no script execution, login rejected).","658","test_xss_input","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Checkout should be blocked with an error when first name is missing.","366","test_missing_first_name","tests","2026-09-14","passed","2026-09-14","TestCheckout","test_checkout","",""
"Submitting the form with an empty password should show an error.","513","test_empty_password","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Every product must have a non-empty display name.","108","test_product_names_are_not_empty","tests","2026-09-14","passed","2026-09-14","TestInventory","test_inventory","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","5576","test_login_data_driven[performance_glitch_user-secret_sauce-success]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Login with a completely unknown username should fail.","586","test_invalid_login_unknown_user","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","611","test_login_data_driven[locked_out_user-secret_sauce-locked]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","563","test_login_data_driven[standard_user-wrong_password-failure]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Every product must have a valid (non-empty) image source.","119","test_product_images_are_present","tests","2026-09-14","passed","2026-09-14","TestInventory","test_inventory","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","609","test_login_data_driven[standard_user-secret_sauce-success]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Sorting by 'Price (high to low)' should return descending prices.","183","test_sort_price_high_to_low","tests","2026-09-14","passed","2026-09-14","TestInventory","test_inventory","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","624","test_login_data_driven[error_user-secret_sauce-success]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Adding multiple products should reflect the correct count in the cart badge and cart page.","284","test_add_multiple_products_to_cart","tests","2026-09-14","failed","2026-09-14","TestCart","test_cart","",""
"Removing a product from the inventory page should clear the cart badge.","252","test_remove_product_from_cart","tests","2026-09-14","failed","2026-09-14","TestCart","test_cart","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","597","test_login_data_driven[None-secret_sauce-failure]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Sorting by 'Price (low to high)' should return ascending prices.","237","test_sort_price_low_to_high","tests","2026-09-14","passed","2026-09-14","TestInventory","test_inventory","",""
"Checkout should be blocked with an error when postal code is missing.","306","test_missing_postal_code","tests","2026-09-14","passed","2026-09-14","TestCheckout","test_checkout","",""
"SQL injection payloads in the login form must not bypass authentication.","579","test_sql_injection_input","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","609","test_login_data_driven[invalid_user-wrong_password-failure]","tests","2026-09-14","passed","2026-09-14","TestLogin","test_login","",""
"Logging out should return the user to the login page.","706","test_logout_successfully","tests","2026-09-14","passed","2026-09-14","TestLogout","test_logout","",""
